x,     	f(x),   	df(x) 
0.000000, 0.000000, 0.999836 
0.031415, 0.031410, 0.999342 
0.062830, 0.062789, 0.997863 
0.094245, 0.094106, 0.995398 
0.125660, 0.125330, 0.991952 
0.157075, 0.156430, 0.987527 
0.188490, 0.187376, 0.982127 
0.219905, 0.218137, 0.975758 
0.251320, 0.248683, 0.968426 
0.282735, 0.278983, 0.960138 
0.314150, 0.309008, 0.950903 
0.345565, 0.338728, 0.983633 
0.000000, 0.000000, 0.978254 
0.031410, 0.031405, 0.999343 
0.062789, 0.062747, 0.997868 
0.094106, 0.093967, 0.995417 
0.125330, 0.125002, 0.992004 
0.156430, 0.155793, 0.987643 
0.187376, 0.186281, 0.982358 
0.218137, 0.216411, 0.976173 
0.248683, 0.246127, 0.969118 
0.278983, 0.275378, 0.961228 
0.309008, 0.304114, 0.952540 
0.338728, 0.332288, 0.984161 
0.000000, 0.000000, 0.979060 
0.031405, 0.031400, 0.999344 
0.062747, 0.062706, 0.997873 
0.093967, 0.093828, 0.995436 
0.125002, 0.124676, 0.992055 
0.155793, 0.155163, 0.987758 
0.186281, 0.185206, 0.982583 
0.216411, 0.214726, 0.976573 
0.246127, 0.243650, 0.969779 
0.275378, 0.271911, 0.962258 
0.304114, 0.299448, 0.954068 
0.332288, 0.326207, 0.984657 
0.000000, 0.000000, 0.979806 
0.031400, 0.031394, 0.999345 
0.062706, 0.062665, 0.997878 
0.093828, 0.093691, 0.995455 
0.124676, 0.124354, 0.992105 
0.155163, 0.154541, 0.987870 
0.185206, 0.184149, 0.982801 
0.214726, 0.213080, 0.976959 
0.243650, 0.241246, 0.970412 
0.271911, 0.268573, 0.963232 
0.299448, 0.294993, 0.955497 
0.326207, 0.320452, 0.985122 
0.000000, 0.000000, 0.980498 
0.031394, 0.031389, 0.999346 
0.062665, 0.062624, 0.997883 
0.093691, 0.093554, 0.995473 
0.124354, 0.124033, 0.992154 
0.154541, 0.153927, 0.987980 
0.184149, 0.183110, 0.983014 
0.213080, 0.211471, 0.977332 
0.241246, 0.238913, 0.971017 
0.268573, 0.265356, 0.964155 
0.294993, 0.290733, 0.956836 
0.320452, 0.314996, 0.985560 
0.000000, 0.000000, 0.981142 
0.031389, 0.031384, 0.999346 
0.062624, 0.062583, 0.997889 
0.093554, 0.093417, 0.995492 
0.124033, 0.123716, 0.992203 
0.153927, 0.153320, 0.988087 
0.183110, 0.182088, 0.983221 
0.211471, 0.209898, 0.977693 
0.238913, 0.236647, 0.971596 
0.265356, 0.262252, 0.965031 
0.290733, 0.286654, 0.958095 
0.314996, 0.309812, 0.985972 
0.000000, 0.000000, 0.981742 
0.031384, 0.031379, 0.999347 
0.062583, 0.062542, 0.997894 
0.093417, 0.093282, 0.995510 
0.123716, 0.123400, 0.992251 
0.153320, 0.152720, 0.988193 
0.182088, 0.181084, 0.983423 
0.209898, 0.208360, 0.978041 
0.236647, 0.234444, 0.972152 
0.262252, 0.259257, 0.965864 
0.286654, 0.282745, 0.959280 
0.309812, 0.304880, 0.986361 
0.000000, 0.000000, 0.982304 
0.031379, 0.031374, 0.999348 
0.062542, 0.062502, 0.997899 
0.093282, 0.093146, 0.995528 
0.123400, 0.123087, 0.992299 
0.152720, 0.152127, 0.988297 
0.181084, 0.180096, 0.983620 
0.208360, 0.206856, 0.978379 
0.234444, 0.232302, 0.972686 
0.259257, 0.256362, 0.966656 
0.282745, 0.278992, 0.960399 
0.304880, 0.300179, 0.986729 
0.000000, 0.000000, 0.982830 
0.031374, 0.031369, 0.999349 
0.062502, 0.062461, 0.997904 
0.093146, 0.093012, 0.995545 
0.123087, 0.122777, 0.992346 
0.152127, 0.151541, 0.988398 
0.180096, 0.179124, 0.983812 
0.206856, 0.205384, 0.978705 
0.232302, 0.230219, 0.973199 
0.256362, 0.253563, 0.967412 
0.278992, 0.275387, 0.961455 
0.300179, 0.295691, 0.987078 
0.000000, 0.000000, 0.983324 
0.031369, 0.031363, 0.999350 
0.062461, 0.062420, 0.997909 
0.093012, 0.092878, 0.995563 
0.122777, 0.122469, 0.992392 
0.151541, 0.150961, 0.988498 
0.179124, 0.178167, 0.983999 
0.205384, 0.203943, 0.979021 
0.230219, 0.228190, 0.973692 
0.253563, 0.250855, 0.968133 
0.275387, 0.271920, 0.962455 
0.295691, 0.291401, 0.987408 
0.000000, 0.000000, 0.983789 
0.031363, 0.031358, 0.999351 
0.062420, 0.062380, 0.997914 
0.092878, 0.092744, 0.995580 
0.122469, 0.122163, 0.992437 
0.150961, 0.150389, 0.988596 
0.178167, 0.177226, 0.984182 
0.203943, 0.202532, 0.979328 
0.228190, 0.226215, 0.974167 
0.250855, 0.248232, 0.968822 
0.271920, 0.268581, 0.963403 
0.291401, 0.287294, 0.987722 
0.000000, 0.000000, 0.984228 
0.031358, 0.031353, 0.999352 
0.062380, 0.062339, 0.997919 
0.092744, 0.092611, 0.